game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
291,2015,11,NN,89.9,DK,62.3,Regular Season,Regular Season
292,2015,11,LB,112.1,OB,123.2,Regular Season,Regular Season
293,2015,12,RW,61.2,DG,141.4,Regular Season,Regular Season
294,2015,12,OB,150.8,NN,93.2,Regular Season,Regular Season
295,2015,12,LB,128.4,CD,80.7,Regular Season,Regular Season
296,2015,12,WF,69.7,ML,104.5,Regular Season,Regular Season
297,2015,12,DK,80,CN,91.2,Regular Season,Regular Season
298,2015,13,LB,126,DG,95.2,Regular Season,Regular Season
299,2015,13,NN,166.7,RW,135.9,Regular Season,Regular Season
300,2015,13,WF,82,CN,71.1,Regular Season,Regular Season
301,2015,13,OB,137.6,CD,128.5,Regular Season,Regular Season
302,2015,13,ML,100,DK,105.1,Regular Season,Regular Season
303,2015,14,WF,91.3,DG,111.7,Post Season,Wildcard
304,2015,14,ML,68.2,DK,59.5,Post Season,Wildcard
305,2015,14,CN,82.2,CD,126.3,Post Season,B4 Playoffs
306,2015,14,RW,71,LB,116.3,Post Season,B4 Playoffs
307,2015,15,DG,128.7,OB,132.5,Post Season,Semifinal
308,2015,15,ML,115.1,NN,99,Post Season,Semifinal
309,2015,15,WF,120.3,DK,124.2,Post Season,Consolation
310,2015,15,LB,80.6,CD,120.2,Post Season,B4 Playoffs
311,2015,15,CN,91.1,RW,149.3,Post Season,B4 Playoffs
312,2015,16,ML,111.9,OB,101.1,Post Season,Championship
313,2015,16,DG,162.2,NN,88.2,Post Season,3rd Place
314,2015,16,WF,70.4,DK,91.5,Post Season,Consolation
315,2015,16,RW,102.6,CD,112.5,Post Season,B4 Playoffs
316,2015,16,CN,76.3,LB,95.7,Post Season,B4 Playoffs
317,2016,1,NN,107.7,LB,121.9,Regular Season,Regular Season
318,2016,1,DG,134.7,OB,86.1,Regular Season,Regular Season
319,2016,1,ML,124.7,CN,118.2,Regular Season,Regular Season
320,2016,1,CD,102.1,RW,94.2,Regular Season,Regular Season
321,2016,1,WF,101,DK,127.3,Regular Season,Regular Season
322,2016,2,WF,92.6,LB,122.7,Regular Season,Regular Season
323,2016,2,DG,130.5,RW,66.2,Regular Season,Regular Season
324,2016,2,CN,123.2,OB,100.6,Regular Season,Regular Season
325,2016,2,NN,87,ML,115.4,Regular Season,Regular Season
